Gold (OG|GC) OG1Q6 (0.10 DTE) vs 4372.3 (+104.3) - Open Interest
Put: 5,499  Call: 8,061  Vol: 32.17  Vol Chg: -9.26  Future Chg: 104.3
Strike,Call,Put,Vol Settle
4305,66,0,0.38079332459710713
4310,88,0,0.38253681027026687
4315,39,0,0.3844401873457173
4320,50,1,0.38650029557766175
4325,319,3,0.38871386174014333
4330,63,8,0.39107749962886373
4335,28,1,0.39358771006254756
4340,38,0,0.3962408808752116
4345,11,0,0.3990332869238955
4350,707,0,0.4019610900832049
4355,63,0,0.40502033924622083
4360,42,0,0.4082069703304114
4365,29,0,0.411516806275813
4370,16,0,0.4149455570327518
4375,129,0,0.418488819583672
4380,60,0,0.42214207791766967
4385,80,0,0.42590070305595873
4390,29,0,0.4297599530309526
4395,36,0,0.43371497290263505
4400,183,1,0.4377607947412798
4405,11,0,0.441892337652007
4410,83,0,0.44610440774386007
4415,367,0,0.4503916981548173
4420,26,0,0.4547487890449702
4425,43,0,0.4591701475847003
4430,28,0,0.46365012797832605
4435,5,0,0.46818297143408927
4440,52,0,0.47276280619098543
