Gold (OG|GC) G2TQ6 (0.09 DTE) vs 4423.5 (+36.4) - Open Interest
Put: 3,685  Call: 3,101  Vol: 19.09  Vol Chg: -9.31  Future Chg: 36.4
Strike,Call,Put,Vol Settle
4385,13,24,0.27405159726458805
4390,29,16,0.2752517955204894
4395,8,4,0.27666369252801815
4400,236,27,0.2782816857616126
4405,11,9,0.28010000203539676
4410,39,9,0.2821126975268271
4415,46,6,0.2843136577594123
4420,50,0,0.28669659760362265
4425,127,8,0.289255061285985
4430,24,2,0.2919824223818068
4435,14,0,0.29487188381517626
4440,22,2,0.29791647786896647
4445,53,0,0.3011090661620983
4450,190,0,0.3044423396795537
4455,19,0,0.3079088187469097
4460,17,0,0.3115008530457999
