Gold (OG|GC) G3WM6 (0.45 DTE) vs 4344 (-10.4) - Open Interest
Put: 2,686  Call: 3,034  Vol: 25.62  Vol Chg: 0.14  Future Chg: -10.4
Strike,Call,Put,Vol Settle
4230,5,7,0.3790523891002522
4235,4,40,0.3711563563956588
4240,2,10,0.3633868764009094
4245,1,26,0.35576578565815
4250,145,148,0.34831384623248596
4255,24,20,0.3410507454755134
4260,52,17,0.3339950960871647
4265,2,8,0.3271644363194355
4270,3,23,0.32057522966351826
4275,12,32,0.31424286516630673
4280,3,22,0.3081816571102536
4285,4,97,0.30240484527894296
4290,3,16,0.2969245948297612
4295,1,12,0.2917519962793449
4300,138,168,0.2868970656163583
4305,22,12,0.28236874413778423
4310,2,6,0.2781748986453749
4315,2,1,0.2743223212128214
4320,11,135,0.2708167293421866
4325,56,50,0.2676627660403028
4330,6,9,0.26486399957502726
4335,17,51,0.26242292370443465
4340,3,39,0.26034095752766007
4345,9,44,0.25861844552855473
4350,37,104,0.25725465765572153
4355,15,5,0.25624778916608193
4360,22,21,0.25559496083587874
4365,19,6,0.25529221871693153
4370,14,1,0.25533453427487984
4375,66,27,0.25571580449832254
4380,30,0,0.2564288515604858
4385,12,0,0.2574654231975728
4390,100,0,0.25881619249048526
4395,12,0,0.2604707579630485
4400,143,6,0.26241764342194074
4405,11,1,0.26464429810948786
4410,32,0,0.26713709679461317
4415,25,0,0.269881339467247
4420,15,0,0.2728612516366411
4425,63,12,0.2760599841385556
4430,3,0,0.2794596131716389
4435,74,0,0.28304114049387863
4440,27,0,0.2867844930551655
4445,20,0,0.2906685233429016
4450,223,18,0.2946710092110152
4455,50,0,0.298768653843581
4460,8,1,0.30293708591125323
