Gold (OG|GC) G3TM6 (0.23 DTE) vs 4361.1 (+9.5) - Open Interest
Put: 3,309  Call: 2,973  Vol: 31.51  Vol Chg: 1.37  Future Chg: 9.5
Strike,Call,Put,Vol Settle
4260,28,12,0.34460444069236473
4265,5,9,0.34028127115971074
4270,4,12,0.33618656945964176
4275,10,75,0.33231872284022757
4280,6,71,0.32867622952426245
4285,3,24,0.32525769867470444
4290,16,19,0.32206185041468416
4295,7,30,0.3190875158261406
4300,80,239,0.3163336369393619
4305,46,16,0.31379926673889713
4310,8,16,0.3114835691671942
4315,30,7,0.30938581912187146
4320,17,39,0.30750540244980584
4325,57,42,0.3058418159644134
4330,6,90,0.3043946674142717
4335,4,19,0.30316367552359225
4340,6,23,0.30214866995629563
4345,6,16,0.3013495913355655
4350,337,354,0.3007664912443033
4355,6,11,0.30039953221330506
4360,13,15,0.3002489877253538
4365,12,5,0.30031524223022643
4370,12,11,0.30059879112059207
4375,74,33,0.30110024075247566
4380,12,2,0.3018203084225206
4385,20,2,0.3027598224011854
4390,47,1,0.3039197218981826
4395,29,0,0.3053010570852166
4400,182,185,0.306904989089162
4405,32,0,0.3087327899856973
4410,62,1,0.3107858428052168
4415,12,0,0.3130656415451085
4420,23,0,0.31557379114292416
4425,48,31,0.3183120074991166
4430,72,0,0.32128211746021407
4435,5,0,0.3244860588388292
4440,7,0,0.3279258803963785
4445,6,0,0.33160374184353714
4450,92,2,0.3355219138557004
4455,16,0,0.3396827780575222
4460,11,0,0.3440888270315554
4465,14,0,0.3487426643064282
